"author","year","min","max","kind","method"
"DeCaria",2005,345,460,"NO","aircraft + model"
"Ott",2010,360,700,"NO","aircraft + model"
"Cummings",2013,500,600,"NO","aircraft + model"
"Davis",2019,72,158,"NOx","aircraft + model"
"Ridley",2004,55,382,"NO","aircraft"
"Huntrieser",2008,70,210,"NOx","aircraft"
"Huntrieser",2009,121,385,"NOx","aircraft"
"Huntrieser",2011,70,179,"NOx","aircraft"
"Pollack",2016,117,332,"NOx","aircraft"
"Beirle",2006,32,240,"NOx","satellite"
"Pickering",2016,35,125,"NOx","satellite"
"Bucsela",2019,80,280,"NOx","satellite"
"Allen",2019,70,270,"NOx","satellite"